,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.sample_id,Input.source_paragraph,Input.candidates_paragraphs,Input.first_paragraph,Answer.analogue_paragraph_flag.1,Answer.analogue_paragraph_flag.2,Answer.analogue_paragraph_flag.3,Answer.analogue_paragraph_flag.4,Answer.sample_id,Answer.target_paragraph_number,Approve,Reject
0,3VADEH0UIRBYEXRN22UOU94DAEWPSS,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3O6CYIULETF6Z3DMTV8LQOQOGLDUW5,A2R1GDWV4RLIUY,Approved,Mon Jul 24 10:35:47 PDT 2023,Mon Jul 24 10:36:39 PDT 2023,Thu Jul 27 10:36:39 PDT 2023,Mon Jul 24 11:42:21 PDT 2023,,,52,100% (306/306),100% (306/306),100% (306/306),165How does the digestive system break down food?,The stomach is responsible for digesting food. It contains powerful enzymes that break down proteins into their component parts. The stomach acid also helps to kill any harmful bacteria which may be found in the food. The combination of these processes helps to break down the food into molecules that can be absorbed by the body.,"[""A butterfly lays an egg.\nA larvae matures inside of the egg.\nThe caterpillar hatches from the egg.\nThe caterpillar eats and grows.\nThe caterpillar spins a coccoon around itself and forms into a pupa.\nThe butterfly forms inside of the coccoon.\nThe mature butterfly emerges from the coccoon.\nThe butterfly mates.\nThe female butterfly lays eggs."", ""The liver takes in blood from the rest of the body.\nThe liver uses enzymes to clean the blood.\nThe cleaned blood is expelled.\nThe liver creates bile from the items filtered.\nThe liver takes energy and stores it as glycogen.\nThe bile is sent to the intestines."", ""The digestive system breaks down food in order to absorb its nutrients. This process is facilitated by enzymes which break down carbohydrates, proteins, and fats. Additionally, gastric acid is released in the stomach which helps to break down food further and also kills any potential pathogens."", ""Minerals fill spaces between bits of sediment.\nThe sediments become glued together.\nThe glued together parts become hard like cement.\nThe sediment becomes a big rock.\nThe rocks erode slowly.\nThe rocks come apart.\nThe rocks become smaller rocks.\nThe rocks continue to erode into smaller rocks.\nThe process starts again.""]","A butterfly lays an egg.
 A larvae matures inside of the egg.
 The caterpillar hatches from the egg.
 The caterpillar eats and grows.
 The caterpillar spins a coccoon around itself and forms into a pupa.
 The butterfly forms inside of the coccoon.
 The mature butterfly emerges from the coccoon.
 The butterfly mates.
 The female butterfly lays eggs.",False,False,True,False,165How does the digestive system break down food?,3,,
2,3VADEH0UIRBYEXRN22UOU94DAEWPSS,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3MTMREQS4BWMKUZONQRUQNEU9IPAWD,A9HQ3E0F2AGVO,Approved,Mon Jul 24 10:55:27 PDT 2023,Mon Jul 24 10:58:40 PDT 2023,Thu Jul 27 10:58:40 PDT 2023,Mon Jul 24 11:42:21 PDT 2023,,,193,100% (306/306),100% (306/306),100% (306/306),165How does the digestive system break down food?,The stomach is responsible for digesting food. It contains powerful enzymes that break down proteins into their component parts. The stomach acid also helps to kill any harmful bacteria which may be found in the food. The combination of these processes helps to break down the food into molecules that can be absorbed by the body.,"[""A butterfly lays an egg.\nA larvae matures inside of the egg.\nThe caterpillar hatches from the egg.\nThe caterpillar eats and grows.\nThe caterpillar spins a coccoon around itself and forms into a pupa.\nThe butterfly forms inside of the coccoon.\nThe mature butterfly emerges from the coccoon.\nThe butterfly mates.\nThe female butterfly lays eggs."", ""The liver takes in blood from the rest of the body.\nThe liver uses enzymes to clean the blood.\nThe cleaned blood is expelled.\nThe liver creates bile from the items filtered.\nThe liver takes energy and stores it as glycogen.\nThe bile is sent to the intestines."", ""The digestive system breaks down food in order to absorb its nutrients. This process is facilitated by enzymes which break down carbohydrates, proteins, and fats. Additionally, gastric acid is released in the stomach which helps to break down food further and also kills any potential pathogens."", ""Minerals fill spaces between bits of sediment.\nThe sediments become glued together.\nThe glued together parts become hard like cement.\nThe sediment becomes a big rock.\nThe rocks erode slowly.\nThe rocks come apart.\nThe rocks become smaller rocks.\nThe rocks continue to erode into smaller rocks.\nThe process starts again.""]","A butterfly lays an egg.
 A larvae matures inside of the egg.
 The caterpillar hatches from the egg.
 The caterpillar eats and grows.
 The caterpillar spins a coccoon around itself and forms into a pupa.
 The butterfly forms inside of the coccoon.
 The mature butterfly emerges from the coccoon.
 The butterfly mates.
 The female butterfly lays eggs.",False,False,True,False,165How does the digestive system break down food?,3,,
4,3SSN80MU9R25ZNG6JKV3X0Z6VJSKXU,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3DR23U6WELSXIQC68QO5ZMXMQ36ETN,A2R1GDWV4RLIUY,Approved,Mon Jul 24 11:05:42 PDT 2023,Mon Jul 24 11:07:09 PDT 2023,Thu Jul 27 11:07:09 PDT 2023,Mon Jul 24 11:42:20 PDT 2023,,,87,100% (306/306),100% (306/306),100% (306/306),31How does a tunnel form?,"Caverns form when water erodes the rock, causing pressure to build up, leading to the collapse of the rock. Underground rivers can also carve out a cave by cutting through the rock. In addition, groundwater can dissolve limestone, which contributes to the formation of caverns.","[""MRNA is made during the first step of protein synthesis, which is transcription.\nThe DNA's genetic information, or secret code, gets written onto a strand of mRNA.\nTranscription takes place in the nucleus.\nThe next step in making a protein is called translation.\nThe mRNA attaches itself to the ribosome. Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright Ducksters. Do not use without permission.\nThe ribosome figures out where to start on the mRNA by finding a special three letter \""begin\"" sequence called a codon.\nThe ribosome then moves down the strand of mRNA.\nWhen the ribosome sees the \""stop\"" code, it ends the translation and the protein is complete."", ""Food is put into mouth.\nFood is chewed and mixed with saliva (spit).\nFood travels down the esophagus (throat).\nFood travels into the stomach.\nAcid in the stomach breaks the food down further.\nFood travels into the small intestine.\nNutrients from food are absorbed into the blood stream.\nFood travels into the large intestine.\nMost of the remaining material is now waste.\nThe waste is eventually removed from the body."", ""A tunnel is formed by a drill that erodes the soil and a machine that carves out the tunnel.\n The drill removes the soil, and the machine carves out the tunnel.\n Chemicals may also be used to dissolve the concrete in order to create a smoother wall surface."", ""Wind passes the turbines and moves the blades.\nThe shaft of the turbine spins.\nShaft is connected to a generator.\nThe generator uses the spins of the shaft to rotate a rotor.\nThe rotor spins inside the core, which has magnets inside surrounded by wire loops inside.\nThe spinning of the rotor in the core generates electricity.""]","MRNA is made during the first step of protein synthesis, which is transcription.
 The DNA's genetic information, or secret code, gets written onto a strand of mRNA.
 Transcription takes place in the nucleus.
 The next step in making a protein is called translation.
 The mRNA attaches itself to the ribosome. Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright Ducksters. Do not use without permission.
 The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.
 The ribosome then moves down the strand of mRNA.
 When the ribosome sees the ""stop"" code, it ends the translation and the protein is complete.",False,False,True,False,31How does a tunnel form?,3,,
5,3SSN80MU9R25ZNG6JKV3X0Z6VJSKXU,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,35DR22AR5TY1P95TOG865YEVCA4X3Y,A9HQ3E0F2AGVO,Approved,Mon Jul 24 11:07:40 PDT 2023,Mon Jul 24 11:14:28 PDT 2023,Thu Jul 27 11:14:28 PDT 2023,Mon Jul 24 11:42:21 PDT 2023,,,408,100% (306/306),100% (306/306),100% (306/306),31How does a tunnel form?,"Caverns form when water erodes the rock, causing pressure to build up, leading to the collapse of the rock. Underground rivers can also carve out a cave by cutting through the rock. In addition, groundwater can dissolve limestone, which contributes to the formation of caverns.","[""MRNA is made during the first step of protein synthesis, which is transcription.\nThe DNA's genetic information, or secret code, gets written onto a strand of mRNA.\nTranscription takes place in the nucleus.\nThe next step in making a protein is called translation.\nThe mRNA attaches itself to the ribosome. Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright Ducksters. Do not use without permission.\nThe ribosome figures out where to start on the mRNA by finding a special three letter \""begin\"" sequence called a codon.\nThe ribosome then moves down the strand of mRNA.\nWhen the ribosome sees the \""stop\"" code, it ends the translation and the protein is complete."", ""Food is put into mouth.\nFood is chewed and mixed with saliva (spit).\nFood travels down the esophagus (throat).\nFood travels into the stomach.\nAcid in the stomach breaks the food down further.\nFood travels into the small intestine.\nNutrients from food are absorbed into the blood stream.\nFood travels into the large intestine.\nMost of the remaining material is now waste.\nThe waste is eventually removed from the body."", ""A tunnel is formed by a drill that erodes the soil and a machine that carves out the tunnel.\n The drill removes the soil, and the machine carves out the tunnel.\n Chemicals may also be used to dissolve the concrete in order to create a smoother wall surface."", ""Wind passes the turbines and moves the blades.\nThe shaft of the turbine spins.\nShaft is connected to a generator.\nThe generator uses the spins of the shaft to rotate a rotor.\nThe rotor spins inside the core, which has magnets inside surrounded by wire loops inside.\nThe spinning of the rotor in the core generates electricity.""]","MRNA is made during the first step of protein synthesis, which is transcription.
 The DNA's genetic information, or secret code, gets written onto a strand of mRNA.
 Transcription takes place in the nucleus.
 The next step in making a protein is called translation.
 The mRNA attaches itself to the ribosome. Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright Ducksters. Do not use without permission.
 The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.
 The ribosome then moves down the strand of mRNA.
 When the ribosome sees the ""stop"" code, it ends the translation and the protein is complete.",False,False,True,False,31How does a tunnel form?,3,,
7,3GL25Y685I80PBG94W8JCDRAKONXMC,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,34QN5IT0TF5FTG5OXLEVN1ZVIPB806,A9HQ3E0F2AGVO,Approved,Mon Jul 24 11:01:13 PDT 2023,Mon Jul 24 11:03:39 PDT 2023,Thu Jul 27 11:03:39 PDT 2023,Mon Jul 24 11:42:13 PDT 2023,,,146,100% (306/306),100% (306/306),100% (306/306),852How does oil get from the ground to a refinery?,"Miners extract coal from the ground and transport it to the power station. Trucks are often used to transport the coal to the power station, where it will be used to generate electricity. Coal is an important source of energy for power stations and is used to generate electricity for homes, businesses and industries.","[""Drillers extract the oil from the ground by drilling down and then pumping it up.\n Once the oil is extracted, it is transported through pipelines to the refinery.\n Once it arrives at the refinery, the oil is used to create different types of products."", ""Animals pull a fruit off a plant or pick a fruit up from the ground.\nAnimals eat the fruit.\nAnimals drop some seeds onto the ground.\nAnimals eat some seeds.\nThe seeds are in the animal's waste.\nThe waste goes onto the ground.\nThere are seeds on the ground in different areas away from the plant."", ""Bees land on flowers and eat the nectar of the plants.\nWhile on the flowers pollen gets on the bee's fur.\nThe bee flies to another area with other flowers.\nThe pollen is deposited in that area.\nA plant is able to reproduce."", ""One type of air pollution is the addition of carbon dioxide gas into the air.\nSome scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.\nThis upsets the balance of the carbon cycle.\nThe ozone layer helps protect us from harmful rays from the sun.\nIt is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.\nAcid rain is created when gasses such as sulfur dioxide get high into the atmosphere.\nThe wind can blow these gasses for miles and then they get washed out of the air when it rains.\nThis rain is called acid rain and can damage forests and kill fish.""]","Drillers extract the oil from the ground by drilling down and then pumping it up.
  Once the oil is extracted, it is transported through pipelines to the refinery.
  Once it arrives at the refinery, the oil is used to create different types of products.",True,False,False,False,852How does oil get from the ground to a refinery?,1,,
8,3GL25Y685I80PBG94W8JCDRAKONXMC,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3UXUOQ9OKUB7UFYNFIJIY7FDGRI7AA,A2R1GDWV4RLIUY,Approved,Mon Jul 24 11:10:53 PDT 2023,Mon Jul 24 11:12:30 PDT 2023,Thu Jul 27 11:12:30 PDT 2023,Mon Jul 24 11:42:13 PDT 2023,,,97,100% (306/306),100% (306/306),100% (306/306),852How does oil get from the ground to a refinery?,"Miners extract coal from the ground and transport it to the power station. Trucks are often used to transport the coal to the power station, where it will be used to generate electricity. Coal is an important source of energy for power stations and is used to generate electricity for homes, businesses and industries.","[""Drillers extract the oil from the ground by drilling down and then pumping it up.\n Once the oil is extracted, it is transported through pipelines to the refinery.\n Once it arrives at the refinery, the oil is used to create different types of products."", ""Animals pull a fruit off a plant or pick a fruit up from the ground.\nAnimals eat the fruit.\nAnimals drop some seeds onto the ground.\nAnimals eat some seeds.\nThe seeds are in the animal's waste.\nThe waste goes onto the ground.\nThere are seeds on the ground in different areas away from the plant."", ""Bees land on flowers and eat the nectar of the plants.\nWhile on the flowers pollen gets on the bee's fur.\nThe bee flies to another area with other flowers.\nThe pollen is deposited in that area.\nA plant is able to reproduce."", ""One type of air pollution is the addition of carbon dioxide gas into the air.\nSome scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.\nThis upsets the balance of the carbon cycle.\nThe ozone layer helps protect us from harmful rays from the sun.\nIt is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.\nAcid rain is created when gasses such as sulfur dioxide get high into the atmosphere.\nThe wind can blow these gasses for miles and then they get washed out of the air when it rains.\nThis rain is called acid rain and can damage forests and kill fish.""]","Drillers extract the oil from the ground by drilling down and then pumping it up.
  Once the oil is extracted, it is transported through pipelines to the refinery.
  Once it arrives at the refinery, the oil is used to create different types of products.",True,False,False,False,852How does oil get from the ground to a refinery?,1,,
10,3HXCEECSR17PON52OHKF3TUS1YZZY1,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3BEFOD78WM7BDTPTANBG4MQ3J6DM4L,A2R1GDWV4RLIUY,Approved,Mon Jul 24 10:44:26 PDT 2023,Mon Jul 24 10:45:34 PDT 2023,Thu Jul 27 10:45:34 PDT 2023,Mon Jul 24 11:42:13 PDT 2023,,,68,100% (306/306),100% (306/306),100% (306/306),1136How do submarines navigate in the dark?,"Owls have adapted to hunt at night by using their vision. They have excellent vision, allowing them to detect their prey in dim light. They also fly silently, which helps them to sneak up on their prey without being noticed. By using their vision and flying silently, owls are able to locate and capture prey in the dark.","[""To bake a cake you first need to gather your ingredients.\nPreheat the oven to desired baking temperature.\nGrease your preferred cake pan with crisco or butter or other non-stick spray.\nAdd eggs and vegetable oil to the dry ingredients.\nStir or whisk until all the dry flour has been absorbed.\nPour the batter into the greased cake pan.\nPlace cake pan into the oven for the required time.\nWhen a toothpick inserted into the cake comes out clean, the cake is done baking."", ""Submarines use sonar to detect objects around them in the dark. Sonar works by sending sound waves out into the environment and listening for the echoes that come back. This allows submarines to detect objects in the water, even in darkness. Submarines also use this sonar to move silently, as the sound waves can be used to detect changes in the environment and help the submarine to navigate."", ""Carbon dioxide enters the leaf through the stomates.\nWater is absorbed by the plant and transported to the leaves.\nSunlight is captured by the plant.\nEnergy in the form of ATP is made from the sun's energy.\nCarbon dioxide, water, and ATP form sugars via the Calvin cycle.\nOxygen is given off as a byproduct.\nOxygen leaves the leaf through the stomates.\nWater is reused or it leaves the leaf.\nThe sugars can be used by the plant to make cellulose."", ""A machine called a pulverizer grinds the coal into a fine powder.\nThe coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.\nThe burning coal heats water in a boiler, creating steam.\nSteam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.\nThe spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.\nThis happens when magnets inside a copper coil in the generator spin.\nA condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.\nThe water returns to the boiler, and the cycle begins again.""]","To bake a cake you first need to gather your ingredients.
 Preheat the oven to desired baking temperature.
 Grease your preferred cake pan with crisco or butter or other non-stick spray.
 Add eggs and vegetable oil to the dry ingredients.
 Stir or whisk until all the dry flour has been absorbed.
 Pour the batter into the greased cake pan.
 Place cake pan into the oven for the required time.
 When a toothpick inserted into the cake comes out clean, the cake is done baking.",False,True,False,False,1136How do submarines navigate in the dark?,2,,
11,3HXCEECSR17PON52OHKF3TUS1YZZY1,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3MH9DQ757CQA2HNMEQ434L40MXSUGB,A9HQ3E0F2AGVO,Approved,Mon Jul 24 11:07:15 PDT 2023,Mon Jul 24 11:08:53 PDT 2023,Thu Jul 27 11:08:53 PDT 2023,Mon Jul 24 11:42:13 PDT 2023,,,98,100% (306/306),100% (306/306),100% (306/306),1136How do submarines navigate in the dark?,"Owls have adapted to hunt at night by using their vision. They have excellent vision, allowing them to detect their prey in dim light. They also fly silently, which helps them to sneak up on their prey without being noticed. By using their vision and flying silently, owls are able to locate and capture prey in the dark.","[""To bake a cake you first need to gather your ingredients.\nPreheat the oven to desired baking temperature.\nGrease your preferred cake pan with crisco or butter or other non-stick spray.\nAdd eggs and vegetable oil to the dry ingredients.\nStir or whisk until all the dry flour has been absorbed.\nPour the batter into the greased cake pan.\nPlace cake pan into the oven for the required time.\nWhen a toothpick inserted into the cake comes out clean, the cake is done baking."", ""Submarines use sonar to detect objects around them in the dark. Sonar works by sending sound waves out into the environment and listening for the echoes that come back. This allows submarines to detect objects in the water, even in darkness. Submarines also use this sonar to move silently, as the sound waves can be used to detect changes in the environment and help the submarine to navigate."", ""Carbon dioxide enters the leaf through the stomates.\nWater is absorbed by the plant and transported to the leaves.\nSunlight is captured by the plant.\nEnergy in the form of ATP is made from the sun's energy.\nCarbon dioxide, water, and ATP form sugars via the Calvin cycle.\nOxygen is given off as a byproduct.\nOxygen leaves the leaf through the stomates.\nWater is reused or it leaves the leaf.\nThe sugars can be used by the plant to make cellulose."", ""A machine called a pulverizer grinds the coal into a fine powder.\nThe coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.\nThe burning coal heats water in a boiler, creating steam.\nSteam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.\nThe spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.\nThis happens when magnets inside a copper coil in the generator spin.\nA condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.\nThe water returns to the boiler, and the cycle begins again.""]","To bake a cake you first need to gather your ingredients.
 Preheat the oven to desired baking temperature.
 Grease your preferred cake pan with crisco or butter or other non-stick spray.
 Add eggs and vegetable oil to the dry ingredients.
 Stir or whisk until all the dry flour has been absorbed.
 Pour the batter into the greased cake pan.
 Place cake pan into the oven for the required time.
 When a toothpick inserted into the cake comes out clean, the cake is done baking.",False,True,False,False,1136How do submarines navigate in the dark?,2,,
13,34OWYT6U4BVOSW8KG14D4HYBWCCI9Y,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3TXWC2NHNF4F8U8ABF3TX30PXNCS92,A9HQ3E0F2AGVO,Approved,Mon Jul 24 11:07:31 PDT 2023,Mon Jul 24 11:16:54 PDT 2023,Thu Jul 27 11:16:54 PDT 2023,Mon Jul 24 11:42:11 PDT 2023,,,563,100% (306/306),100% (306/306),100% (306/306),548How does a mechanical system of air compressor works?,"The liver is an important organ in the human body. It is responsible for a number of different functions including filtering the blood, producing bile, and metabolizing proteins, carbohydrates, and fats. The liver works in conjunction with the kidney to ensure blood is properly filtered. The glomerulus of the kidney is responsible for producing urine, which then travels through the ureters and is collected in the bladder.","[""A seed must find its way to the earth.\nThe seed when given nutrients will sprout.\nThe sprouting will develop a root system.\nThe plant will grow larger until it matures.\nThe plant will thrive.\nThe plant will die.\nBecome nourishment for other plants."", ""The compressor filters the air and then pumps it through a valve.\n The valve produces compressed air, which is then pushed through the piping.\n The pressure from the valve causes the compressed air to travel through the piping, which is then used in various applications."", ""People breathe and expel carbon dioxide.\nEngines produce carbon dioxide.\nLiving things produce waste.\nWaste decomposes.\nDecomposition produces methane.\nWater evaporates.\nWater vapor joins the atmosphere.\nCarbon dioxide, water vapor and methane are greenhouse gases."", ""Animals may come across vegetation.\nThe animal may consume or get seeds stuck in their fur.\nThe animal travels some distance someplace else.\nThe seeds are dropped or deposited off.\nThe seeds have a new place to proliferate and grow.""]","A seed must find its way to the earth.
 The seed when given nutrients will sprout.
 The sprouting will develop a root system.
 The plant will grow larger until it matures.
 The plant will thrive.
 The plant will die.
 Become nourishment for other plants.",False,True,False,False,548How does a mechanical system of air compressor works?,2,,
14,34OWYT6U4BVOSW8KG14D4HYBWCCI9Y,3WIABKGAU4E8JZCJF3HRK829S3EE6E,find the correct analogous candidate paragraph,"You are given four candidates, and a source paragraph. Only one candidate is the correct analogous paragraph. Your task is to identify the analogous candidate","analogy, detection, paragraphs",$0.50,Mon Jul 24 10:00:48 PDT 2023,3,BatchId:5110734;OriginalHitTemplateId:929448123;,86400,259200,Mon Jul 31 10:00:48 PDT 2023,,,3L0KT67Y8UUU9VGIJRV9WKTG6W0YS0,A2R1GDWV4RLIUY,Approved,Mon Jul 24 11:30:16 PDT 2023,Mon Jul 24 11:32:59 PDT 2023,Thu Jul 27 11:32:59 PDT 2023,Mon Jul 24 11:42:10 PDT 2023,,,163,100% (306/306),100% (306/306),100% (306/306),548How does a mechanical system of air compressor works?,"The liver is an important organ in the human body. It is responsible for a number of different functions including filtering the blood, producing bile, and metabolizing proteins, carbohydrates, and fats. The liver works in conjunction with the kidney to ensure blood is properly filtered. The glomerulus of the kidney is responsible for producing urine, which then travels through the ureters and is collected in the bladder.","[""A seed must find its way to the earth.\nThe seed when given nutrients will sprout.\nThe sprouting will develop a root system.\nThe plant will grow larger until it matures.\nThe plant will thrive.\nThe plant will die.\nBecome nourishment for other plants."", ""The compressor filters the air and then pumps it through a valve.\n The valve produces compressed air, which is then pushed through the piping.\n The pressure from the valve causes the compressed air to travel through the piping, which is then used in various applications."", ""People breathe and expel carbon dioxide.\nEngines produce carbon dioxide.\nLiving things produce waste.\nWaste decomposes.\nDecomposition produces methane.\nWater evaporates.\nWater vapor joins the atmosphere.\nCarbon dioxide, water vapor and methane are greenhouse gases."", ""Animals may come across vegetation.\nThe animal may consume or get seeds stuck in their fur.\nThe animal travels some distance someplace else.\nThe seeds are dropped or deposited off.\nThe seeds have a new place to proliferate and grow.""]","A seed must find its way to the earth.
 The seed when given nutrients will sprout.
 The sprouting will develop a root system.
 The plant will grow larger until it matures.
 The plant will thrive.
 The plant will die.
 Become nourishment for other plants.",False,True,False,False,548How does a mechanical system of air compressor works?,2,,
